date,Humidity,Intraday_max,Intraday_mean,Intraday_min,Precipitation,Soil_max,Soil_mean,Soil_min
1967-12-21,80.12,,-21.09,,0.8,,-21.62,
1967-12-22,79.75,,-24.31,,0.0,,-24.0,
1967-12-23,83.75,,-10.54,,6.8,,-10.5,
1967-12-24,75.62,,-20.76,,0.7,,-22.0,
1967-12-25,78.12,,-19.35,,0.3,,-20.75,
1967-12-26,85.5,,-7.21,,2.0,,-7.25,
1967-12-27,87.75,,-3.55,,2.8,,-4.25,
1967-12-28,84.75,,-5.03,,3.2,,-4.62,
1967-12-29,80.5,,-13.1,,1.3,,-12.25,
1967-12-30,82.12,,-12.01,,0.9,,-11.88,
1967-12-31,86.25,,-9.81,,5.4,,-10.38,
1968-01-01,89.0,,-10.8,,1.8,,-10.75,
1968-01-02,82.0,,-15.88,,2.8,,-15.25,
1968-01-03,84.75,,-17.24,,0.6,,-17.5,
1968-01-04,85.88,,-14.89,,5.4,,-16.12,
1968-01-05,87.75,,-8.19,,4.9,,-7.38,
1968-01-06,85.12,,-16.05,,0.2,,-16.0,
1968-01-07,83.25,,-21.21,,0.0,,-23.0,
1968-01-08,79.0,,-27.81,,0.3,,-28.5,
1968-01-09,83.75,,-18.19,,1.7,,-17.5,
1968-01-10,79.75,,-21.25,,2.3,,-23.0,
1968-01-11,76.12,,-30.58,,0.0,,-31.88,
1968-01-12,75.62,,-31.72,,0.0,,-32.5,
1968-01-13,74.25,,-31.66,,0.0,,-32.88,
1968-01-14,77.5,,-20.15,,0.2,,-20.25,
1968-01-15,80.75,,-11.79,,1.6,,-11.88,
1968-01-16,83.38,,-13.54,,0.6,,-16.12,
1968-01-17,81.75,,-20.21,,0.0,,-21.38,
1968-01-18,79.88,,-22.04,,1.0,,-21.88,
1968-01-19,84.25,,-14.96,,0.5,,-18.0,
1968-01-20,82.88,,-21.45,,0.0,,-28.38,
1968-01-21,78.75,,-29.06,,0.0,,-35.62,
1968-01-22,76.25,,-32.25,,0.0,,-36.62,
1968-01-23,77.38,,-30.06,,0.0,,-34.38,
1968-01-24,76.0,,-32.43,,0.3,,-37.0,
1968-01-25,74.5,,-36.31,,0.0,,-39.5,
1968-01-26,76.12,,-33.0,,0.0,,-34.88,
1968-01-27,82.88,,-19.52,,2.1,,-19.88,
1968-01-28,86.62,,-12.23,,2.2,,-12.5,
1968-01-29,85.75,,-9.06,,1.1,,-9.12,
1968-01-30,82.5,,-9.57,,1.0,,-9.25,
1968-01-31,81.88,,-8.86,,0.6,,-8.38,
1968-02-01,80.38,,-6.08,,0.7,,-5.75,
1968-02-02,82.5,,-3.82,,0.4,,-4.12,
1968-02-03,86.5,,-2.74,,2.2,,-2.88,
1968-02-04,85.38,,-0.98,,0.2,,-1.25,
1968-02-05,82.25,,-2.17,,0.0,,-2.75,
1968-02-06,87.38,,-5.2,,3.5,,-4.38,
1968-02-07,78.25,,-10.32,,0.5,,-10.62,
1968-02-08,75.75,,-16.95,,0.0,,-18.62,
1968-02-09,71.38,,-15.79,,0.0,,-17.62,
1968-02-10,76.0,,-11.06,,0.8,,-10.75,
1968-02-11,74.62,,-12.31,,0.5,,-13.0,
1968-02-12,78.88,,-7.09,,1.1,,-7.25,
1968-02-13,77.12,,-7.51,,0.4,,-7.62,
1968-02-14,81.38,,-12.35,,0.0,,-12.75,
1968-02-15,82.0,,-14.5,,0.0,,-14.75,
1968-02-16,79.75,,-16.74,,0.0,,-17.88,
1968-02-17,79.75,,-10.65,,0.5,,-11.38,
1968-02-18,72.25,,-10.98,,0.5,,-14.0,
1968-02-19,86.25,,-11.2,,9.0,,-13.38,
1968-02-20,85.88,,-4.5,,5.5,,-4.62,
1968-02-21,88.25,,-7.08,,13.9,,-7.12,
1968-02-22,87.38,,-16.65,,0.2,,-18.25,
1968-02-23,85.38,,-13.2,,1.3,,-12.62,
1968-02-24,85.0,,-11.32,,2.8,,-11.25,
1968-02-25,78.62,,-14.34,,2.7,,-15.0,
1968-02-26,77.25,,-12.14,,0.6,,-12.5,
1968-02-27,81.25,,-10.76,,0.4,,-11.5,
1968-02-28,81.25,,-12.36,,0.0,,-12.88,
1968-02-29,82.38,,-18.85,,0.3,,-19.88,
1968-03-01,86.0,,-11.71,,0.0,,-11.12,
1968-03-02,88.12,,-3.59,,0.0,,-3.88,
1968-03-03,76.0,,-1.65,,0.0,,-2.62,
1968-03-04,82.75,,-7.01,,0.2,,-8.0,
1968-03-05,75.38,,-4.7,,0.0,,-5.62,
1968-03-06,77.25,,-7.21,,0.0,,-8.38,
1968-03-07,79.0,,-7.12,,0.0,,-7.88,
1968-03-08,82.25,,-4.6,,0.2,,-4.5,
1968-03-09,80.75,,-5.06,,1.1,,-5.12,
1968-03-10,82.75,,-3.29,,0.6,,-3.62,
1968-03-11,88.25,,-4.19,,2.2,,-4.25,
1968-03-12,84.38,,-5.45,,0.7,,-6.0,
1968-03-13,78.5,,-5.57,,4.2,,-5.25,
1968-03-14,82.12,,-10.16,,0.0,,-11.25,
1968-03-15,85.38,,-5.33,,0.2,,-5.75,
1968-03-16,75.5,,-4.7,,0.4,,-5.88,
1968-03-17,69.25,,-9.77,,0.8,,-10.88,
1968-03-18,68.5,,-9.36,,0.0,,-11.0,
1968-03-19,86.75,,-1.41,,2.2,,-2.25,
1968-03-20,86.62,,-1.02,,0.3,,-1.5,
1968-03-21,72.12,,-2.97,,0.0,,-5.5,
1968-03-22,82.5,,-0.3,,2.6,,-1.5,
1968-03-23,75.88,,1.22,,0.0,,-1.88,
1968-03-24,84.25,,1.61,,0.0,,-0.38,
1968-03-25,89.75,,0.56,,2.1,,-0.62,
1968-03-26,85.75,,2.89,,3.0,,0.5,
1968-03-27,74.38,,2.48,,6.3,,0.12,
1968-03-28,81.0,,-1.5,,3.0,,-2.75,
1968-03-29,84.62,,0.99,,5.2,,-0.12,
1968-03-30,61.12,,-8.82,,0.3,,-7.62,
1968-03-31,63.25,,-10.58,,0.0,,-11.75,
1968-04-01,54.62,,-10.96,,0.0,,-12.12,
1968-04-02,65.38,,-9.59,,3.4,,-9.0,
1968-04-03,59.75,,-11.46,,0.0,,-13.25,
1968-04-04,74.38,,-10.07,,1.3,,-11.25,
1968-04-05,81.88,,-1.16,,3.8,,-1.88,
1968-04-06,75.25,,1.17,,0.2,,-1.38,
1968-04-07,80.38,,3.72,,6.5,,0.62,
1968-04-08,81.38,,0.64,,4.8,,-0.75,
1968-04-09,87.5,,3.24,,8.9,,0.25,
1968-04-10,79.38,,1.8,,0.0,,0.0,
1968-04-11,65.5,,4.65,,0.0,,0.12,
1968-04-12,64.75,,7.34,,0.0,,0.38,
1968-04-13,59.88,,5.44,,0.0,,0.25,
1968-04-14,86.25,,1.78,,1.0,,0.0,
1968-04-15,64.62,,0.3,,0.3,,-0.12,
1968-04-16,57.75,,-4.88,,0.0,,-1.25,
1968-04-17,54.25,,-9.08,,0.0,,-4.88,
1968-04-18,55.25,,-4.97,,0.0,,-3.62,
1968-04-19,78.38,,-2.45,,4.0,,-1.25,
1968-04-20,64.12,,-2.74,,0.2,,-3.25,
1968-04-21,54.88,,-2.63,,0.0,,-0.5,
1968-04-22,72.5,,1.78,,1.7,,1.0,
1968-04-23,49.0,,-5.7,,0.0,,-2.62,
1968-04-24,51.12,,-4.55,,0.0,,-1.62,
1968-04-25,68.5,,-3.69,,0.8,,-1.62,
1968-04-26,73.62,,-2.96,,3.3,,-2.0,
1968-04-27,71.75,,-4.8,,1.8,,-3.88,
1968-04-28,65.5,,-5.31,,1.3,,-4.88,
1968-04-29,60.5,,-4.49,,0.0,,-3.5,
1968-04-30,53.25,,-0.92,,0.0,,-1.62,
1968-05-01,47.38,,5.98,,0.0,,3.25,
1968-05-02,49.62,,7.95,,0.0,,6.75,
1968-05-03,64.12,,9.72,,0.3,,8.12,
1968-05-04,88.0,,7.28,,4.0,,9.38,
1968-05-05,77.38,,5.09,,4.3,,5.88,
1968-05-06,72.38,,4.69,,0.0,,7.25,
